epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9536,1.37079,2.79055,1.87634,0.80793,0.77937,0.91074,0.40909,1.60498,1.50149,2.77059,0.000277064,0.000277064,0.000277064
2,57.2988,1.32114,1.78464,1.77485,0.92756,0.93936,0.97615,0.49346,1.53039,1.11519,2.53799,0.00037167,0.00037167,0.00037167
3,84.1008,1.28594,1.56116,1.73563,0.97279,0.96971,0.98609,0.51497,1.59722,0.90749,2.58064,0.000283015,0.000283015,0.000283015
