epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3541,1.47963,2.27412,1.95693,0.61237,0.8121,0.83325,0.41901,1.72528,1.50441,2.85708,0.000277064,0.000277064,0.000277064
2,159.341,1.44727,1.52013,1.89022,0.89545,0.9052,0.95172,0.46322,1.78269,0.84239,2.90718,0.000486083,0.000486083,0.000486083
3,238.808,1.41603,1.41223,1.85022,0.92358,0.95121,0.9847,0.51129,1.72203,0.71932,2.72627,0.000626379,0.000626379,0.000626379
4,318.46,1.39471,1.30917,1.82017,0.92204,0.94383,0.97165,0.51029,1.72033,0.68266,2.72424,0.000523749,0.000523749,0.000523749
5,397.987,1.36824,1.23333,1.79773,0.97195,0.97637,0.98869,0.52838,1.70034,0.57994,2.68486,0.000420665,0.000420665,0.000420665
6,477.694,1.34242,1.18006,1.77263,0.97654,0.97648,0.98711,0.52525,1.71355,0.59627,2.63263,0.000317581,0.000317581,0.000317581
7,557.134,1.32202,1.1514,1.76021,0.9912,0.98948,0.99338,0.533,1.71495,0.54301,2.62593,0.000214497,0.000214497,0.000214497
8,636.637,1.29263,1.10834,1.73771,0.98796,0.99147,0.9924,0.53576,1.71404,0.53851,2.60743,0.000111414,0.000111414,0.000111414
