epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2652,1.47608,2.3698,1.95715,0.54831,0.70763,0.70546,0.35125,1.73284,1.70346,2.83168,0.000276864,0.000276864,0.000276864
2,175.018,1.43566,1.59284,1.8801,0.86175,0.87678,0.93367,0.43742,1.7994,1.02766,2.83639,0.000444734,0.000444734,0.000444734
3,257.173,1.41836,1.43102,1.85072,0.93591,0.92537,0.97673,0.49748,1.73653,0.75934,2.81621,0.000502647,0.000502647,0.000502647
4,338.761,1.38048,1.3119,1.81014,0.95968,0.9614,0.99012,0.52926,1.70398,0.58038,2.66013,0.000338198,0.000338198,0.000338198
5,420.374,1.33395,1.22784,1.77474,0.96594,0.98537,0.99065,0.52917,1.68756,0.66156,2.60933,0.000173264,0.000173264,0.000173264
