epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.763,1.55272,2.35698,2.05913,0.41107,0.822,0.5781,0.27899,1.74014,1.57048,2.80421,0.000277566,0.000277566,0.000277566
2,352.434,1.45389,1.85959,1.93942,0.59271,0.81317,0.77087,0.37166,1.80232,1.20283,2.84801,0.000372006,0.000372006,0.000372006
3,520.133,1.40468,1.64186,1.88423,0.88374,0.92957,0.95529,0.47813,1.71342,0.88215,2.7195,0.000283186,0.000283186,0.000283186
