epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.9315,1.46489,2.2833,1.94766,0.63164,0.76022,0.84995,0.41955,1.67392,1.44781,2.74324,0.000276864,0.000276864,0.000276864
2,178.048,1.43358,1.52059,1.87612,0.83428,0.84583,0.93,0.47574,1.75691,0.92155,2.80852,0.000485908,0.000485908,0.000485908
3,262.071,1.41524,1.3996,1.8458,0.92653,0.89689,0.97589,0.50219,1.68366,0.8275,2.73697,0.000626229,0.000626229,0.000626229
4,343.537,1.39578,1.29791,1.82067,0.97545,0.9817,0.99215,0.51221,1.71131,0.68272,2.6567,0.000523749,0.000523749,0.000523749
5,420.274,1.35509,1.23639,1.79091,0.95841,0.9711,0.98833,0.52188,1.70932,0.62814,2.65766,0.000420665,0.000420665,0.000420665
6,497.142,1.34558,1.17913,1.77418,0.97753,0.94753,0.9848,0.52685,1.709,0.60774,2.65492,0.000317581,0.000317581,0.000317581
7,573.838,1.31963,1.14061,1.7579,0.98002,0.98576,0.9937,0.53682,1.70968,0.55643,2.63147,0.000214497,0.000214497,0.000214497
8,650.722,1.29837,1.10381,1.73827,0.99162,0.98702,0.99461,0.54049,1.71283,0.56272,2.61874,0.000111414,0.000111414,0.000111414
