epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.624,1.51826,2.02431,1.96118,0.25347,0.37605,0.26566,0.0897,2.51821,2.81127,3.44403,0.000277064,0.000277064,0.000277064
2,340.278,1.45058,1.6632,1.86557,0.82485,0.80892,0.92158,0.47434,1.6863,1.08835,2.67215,0.00037167,0.00037167,0.00037167
3,535.369,1.38386,1.45738,1.80674,0.92675,0.90572,0.97318,0.50041,1.72101,0.8298,2.67153,0.000283015,0.000283015,0.000283015
